user_id,week,quiz_correct
1593,0,0.9298247368421052
1593,1,
1593,2,0.8071410416666667
1593,3,0.96
1593,4,0.9
1593,5,1.0
1593,6,0.8518519444444445
1593,7,0.85
1593,8,0.875
1593,9,0.7318393273809524
1626,0,0.5657894736842105
1626,1,
1626,2,
1626,3,
1626,4,
1626,5,
1626,6,
1626,7,
1626,8,
1626,9,
1787,0,0.7076021052631578
1787,1,
1787,2,
1787,3,
1787,4,
1787,5,
1787,6,
1787,7,
1787,8,
1787,9,
1824,0,0.7719294736842105
1824,1,
1824,2,
1824,3,
1824,4,
1824,5,
1824,6,
1824,7,
1824,8,
1824,9,
1836,0,0.3684210526315789
1836,1,
1836,2,
1836,3,
1836,4,
1836,5,
1836,6,
1836,7,
1836,8,
1836,9,
1856,0,0.837718947368421
1856,1,
1856,2,
1856,3,
1856,4,
1856,5,
1856,6,
1856,7,
1856,8,
1856,9,
1938,0,0.9342105263157896
1938,1,
1938,2,0.9102168055555556
1938,3,0.7733333333333334
1938,4,0.852
1938,5,0.921875
1938,6,0.8449074999999999
1938,7,0.745
1938,8,0.7352941176470589
1938,9,0.709360328798186
2012,0,0.9385964912280702
2012,1,0.6702381428571428
2012,2,0.8148795833333333
2012,3,0.8325
2012,4,0.7535714285714287
2012,5,0.875
2012,6,0.8533949999999999
2012,7,0.8416666666666667
2012,8,0.8823529411764706
2012,9,0.5716153558201058
2077,0,0.6228073684210527
2077,1,
2077,2,
2077,3,
2077,4,
2077,5,
2077,6,
2077,7,
2077,8,
2077,9,
2080,0,0.8263157894736842
2080,1,0.49375
2080,2,0.7110116666666666
2080,3,
2080,4,
2080,5,
2080,6,
2080,7,
2080,8,
2080,9,
2155,0,0.9327484210526316
2155,1,
2155,2,
2155,3,
2155,4,
2155,5,
2155,6,
2155,7,
2155,8,
2155,9,
2264,0,0.9495613157894738
2264,1,0.9
2264,2,0.9212563095238095
2264,3,0.936
2264,4,0.83125
2264,5,0.9296875
2264,6,0.9074074074074074
2264,7,0.875
2264,8,0.9411764705882352
2264,9,0.7710756331168831
2560,0,0.8421052631578947
2560,1,
2560,2,
2560,3,
2560,4,
2560,5,
2560,6,
2560,7,
2560,8,
2560,9,
2579,0,0.7105263157894737
2579,1,0.45
2579,2,0.7708333333333334
2579,3,0.3422222222222222
2579,4,0.425
2579,5,0.8203125
2579,6,
2579,7,
2579,8,
2579,9,
2590,0,0.883041052631579
2590,1,
2590,2,
2590,3,
2590,4,
2590,5,
2590,6,
2590,7,
2590,8,
2590,9,
2654,0,0.7368421052631579
2654,1,0.25
2654,2,
2654,3,
2654,4,
2654,5,
2654,6,
2654,7,
2654,8,
2654,9,
2804,0,0.9736842105263158
2804,1,0.5874999999999999
2804,2,0.9130916666666667
2804,3,
2804,4,
2804,5,
2804,6,
2804,7,
2804,8,
2804,9,
2812,0,0.5263157894736842
2812,1,
2812,2,
2812,3,
2812,4,
2812,5,
2812,6,
2812,7,
2812,8,
2812,9,
2889,0,0.881578947368421
2889,1,0.7541665
2889,2,0.8039675000000001
2889,3,0.3179487179487179
2889,4,0.435
2889,5,0.609375
2889,6,
2889,7,
2889,8,
2889,9,
3107,0,0.9093564912280702
3107,1,
3107,2,0.7741070833333333
3107,3,0.776
3107,4,
3107,5,0.8854166666666666
3107,6,0.6805555555555556
3107,7,0.63125
3107,8,0.8970588235294117
3107,9,0.6766159797482212
3191,0,0.3859652631578947
3191,1,
3191,2,
3191,3,
3191,4,
3191,5,
3191,6,
3191,7,
3191,8,
3191,9,
3214,0,0.9473684210526316
3214,1,
3214,2,0.8849857407407407
3214,3,
3214,4,
3214,5,
3214,6,
3214,7,
3214,8,
3214,9,
3227,0,0.9315787368421052
3227,1,
3227,2,
3227,3,
3227,4,
3227,5,
3227,6,
3227,7,
3227,8,
3227,9,
3290,0,0.9736842105263158
3290,1,
3290,2,0.8624999999999999
3290,3,
3290,4,
3290,5,
3290,6,
3290,7,
3290,8,
3290,9,
3331,0,0.9166663157894736
3331,1,
3331,2,0.82009
3331,3,0.1666666666666666
3331,4,
3331,5,
3331,6,
3331,7,
3331,8,
3331,9,
3371,0,0.2543863157894737
3371,1,0.05
3371,2,0.3742063888888889
3371,3,0.1333333333333333
3371,4,0.32
3371,5,0.375
3371,6,0.3240738148148148
3371,7,0.1833333333333333
3371,8,0.1823529411764705
